2026-03-07 03:31:37,512 | booking              | WARNING  | Booking attempt 4 failed: لم أتمكن من النقر على القسم L
2026-03-07 03:31:37,614 | monitor              | WARNING  | Booking FAILURE: MAX_RETRIES (total failures: 1)
2026-03-07 03:31:37,889 | aiogram.event        | INFO     | Update id=648318751 is handled. Duration 445604 ms by bot id=8785687069
2026-03-07 03:32:02,484 | aiogram.dispatcher   | INFO     | Polling stopped
2026-03-07 03:32:02,485 | bot                  | INFO     | Shutting down...
2026-03-07 03:32:02,485 | browser              | INFO     | Shutting down browser pool...
2026-03-07 03:32:02,783 | browser              | INFO     | Browser pool shutdown. Stats: created=2, acquired=1, released=1
2026-03-07 03:32:02,787 | bot                  | INFO     | Shutdown complete.
2026-03-07 03:32:02,788 | aiogram.dispatcher   | ERROR    | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-03-07 03:32:02,789 | aiogram.dispatcher   | WARNING  | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8785687069)
2026-03-07 03:32:02,868 | aiogram.dispatcher   | INFO     | Polling stopped for bot @Tzkartybook_bot id=8785687069 - 'Tzaker'
2026-03-07 03:32:02,870 | bot                  | INFO     | Bot stopped by user
2026-03-07 05:26:08,294 | root                 | INFO     | Logging initialized [level=INFO]
2026-03-07 05:26:08,899 | bot                  | INFO     | Starting bot polling...
2026-03-07 05:26:08,900 | bot                  | INFO     | ══════════════════════════════════════════════════
2026-03-07 05:26:08,900 | bot                  | INFO     |   🎫 Webook Pro Bot Starting...
2026-03-07 05:26:08,901 | bot                  | INFO     | ══════════════════════════════════════════════════
2026-03-07 05:26:08,911 | bot                  | INFO     | Database initialized at C:\Users\yussef makhlouf\Downloads\Ticket-Booker-Bot\Ticket-Booker-Bot\data/webook_pro.db
2026-03-07 05:26:08,911 | browser              | INFO     | Initializing browser pool (max=5)...
2026-03-07 05:26:21,607 | browser              | INFO     | Browser pool ready: 2 pre-warmed, 5 max
2026-03-07 05:26:21,608 | bot                  | INFO     | Bot startup complete!
2026-03-07 05:26:21,608 | aiogram.dispatcher   | INFO     | Start polling
2026-03-07 05:26:22,051 | aiogram.dispatcher   | INFO     | Run polling for bot @Tzkartybook_bot id=8785687069 - 'Tzaker'
2026-03-07 05:26:58,328 | aiogram.event        | INFO     | Update id=648318754 is handled. Duration 323 ms by bot id=8785687069
2026-03-07 05:27:05,633 | automation           | INFO     | Navigating to: https://webook.com/ar/events/rsl-al-ettifaq-vs-al-riyadh-123554
2026-03-07 05:27:15,173 | automation           | INFO     | Dismissed popup: button:has-text("قبول الكل")
2026-03-07 05:27:19,225 | automation           | INFO     | Extracted event: name='دوري روشن ٢٥/٢٦ - الاتفاق ضد الرياض', type='match', teams=['الاتفاق', 'الرياض'] in 3.03s
2026-03-07 05:27:19,236 | booking              | INFO     | Booking prep done in 13.60s: event='دوري روشن ٢٥/٢٦ - الاتفاق ضد الرياض', logged_in=False
2026-03-07 05:27:19,507 | aiogram.event        | INFO     | Update id=648318755 is handled. Duration 14005 ms by bot id=8785687069
2026-03-07 05:27:27,684 | aiogram.event        | INFO     | Update id=648318756 is handled. Duration 249 ms by bot id=8785687069
2026-03-07 05:27:42,158 | aiogram.event        | INFO     | Update id=648318757 is handled. Duration 141 ms by bot id=8785687069
2026-03-07 05:27:51,107 | automation           | INFO     | Attempting login for yusse***...
2026-03-07 05:28:06,890 | automation           | INFO     | Login submitted, waiting for redirect...
2026-03-07 05:28:10,008 | automation           | INFO     | Login successful - redirected to: https://webook.com/ar
2026-03-07 05:28:10,338 | aiogram.event        | INFO     | Update id=648318758 is handled. Duration 19439 ms by bot id=8785687069
2026-03-07 05:28:15,248 | aiogram.event        | INFO     | Update id=648318759 is handled. Duration 138 ms by bot id=8785687069
2026-03-07 05:28:18,705 | automation           | INFO     | Navigating to: https://webook.com/ar/events/rsl-al-ettifaq-vs-al-riyadh-123554/book
2026-03-07 05:28:23,247 | automation           | INFO     | Waiting for seat map to load...
2026-03-07 05:28:31,840 | automation           | INFO     | Found SeatCloud frame: https://chart.seatcloud.com/v1.0/index.html
2026-03-07 05:28:36,905 | automation           | INFO     | Canvas ready: 974x853
2026-03-07 05:28:37,170 | automation           | INFO     | SeatCloud screenshot saved: screenshots/seatmap_691194750_1772854116.png
2026-03-07 05:28:57,968 | automation           | INFO     | Seat analysis: 3 sections found via canvas in 20.80s
2026-03-07 05:28:58,844 | aiogram.event        | INFO     | Update id=648318760 is handled. Duration 40466 ms by bot id=8785687069
2026-03-07 05:29:08,762 | automation           | INFO     | Navigating to: https://webook.com/ar/events/rsl-al-ettifaq-vs-al-riyadh-123554/book
2026-03-07 05:29:13,492 | automation           | INFO     | Selecting team: الاتفاق
2026-03-07 05:29:13,590 | automation           | INFO     | Waiting for seat map to load...
2026-03-07 05:29:15,548 | automation           | INFO     | Found SeatCloud frame: https://chart.seatcloud.com/v1.0/index.html
2026-03-07 05:29:20,597 | automation           | INFO     | Canvas ready: 974x853
2026-03-07 05:29:20,598 | automation           | INFO     | Searching for section: L
2026-03-07 05:29:20,598 | automation           | INFO     | Scanning canvas 974x853 with grid 25x20 for section L...
2026-03-07 05:29:39,522 | automation           | INFO     | Found L at (292, 107), tooltip='D310CAT 1 - L'
2026-03-07 05:29:39,547 | automation           | INFO     | Clicked canvas at (292, 107)
2026-03-07 05:29:55,347 | automation           | WARNING  | Section L not found in canvas scan
2026-03-07 05:29:55,348 | booking              | WARNING  | Booking attempt 1 failed: لم أتمكن من النقر على القسم L
2026-03-07 05:29:55,348 | booking              | INFO     | Retry 1/3 - waiting 1.0s...
2026-03-07 05:29:56,350 | automation           | INFO     | Navigating to: https://webook.com/ar/events/rsl-al-ettifaq-vs-al-riyadh-123554/book
2026-03-07 05:30:01,042 | automation           | INFO     | Selecting team: الاتفاق
2026-03-07 05:30:01,350 | automation           | INFO     | Waiting for seat map to load...
2026-03-07 05:30:03,671 | automation           | INFO     | Found SeatCloud frame: https://chart.seatcloud.com/v1.0/index.html
2026-03-07 05:30:08,723 | automation           | INFO     | Canvas ready: 974x853
2026-03-07 05:30:08,723 | automation           | INFO     | Searching for section: L
2026-03-07 05:30:08,724 | automation           | INFO     | Scanning canvas 974x853 with grid 25x20 for section L...
2026-03-07 05:30:26,682 | automation           | INFO     | Found L at (292, 107), tooltip='D310CAT 1 - L'
2026-03-07 05:30:26,701 | automation           | INFO     | Clicked canvas at (292, 107)
2026-03-07 05:30:42,763 | automation           | WARNING  | Section L not found in canvas scan
2026-03-07 05:30:42,763 | booking              | WARNING  | Booking attempt 2 failed: لم أتمكن من النقر على القسم L
2026-03-07 05:30:42,763 | booking              | INFO     | Retry 2/3 - waiting 2.0s...
2026-03-07 05:30:44,776 | automation           | INFO     | Navigating to: https://webook.com/ar/events/rsl-al-ettifaq-vs-al-riyadh-123554/book
2026-03-07 05:30:49,607 | automation           | INFO     | Selecting team: الاتفاق
2026-03-07 05:30:49,688 | automation           | INFO     | Waiting for seat map to load...
2026-03-07 05:30:59,603 | automation           | INFO     | Found SeatCloud frame: https://chart.seatcloud.com/v1.0/index.html
2026-03-07 05:31:04,649 | automation           | INFO     | Canvas ready: 974x853
2026-03-07 05:31:04,649 | automation           | INFO     | Searching for section: L
2026-03-07 05:31:04,650 | automation           | INFO     | Scanning canvas 974x853 with grid 25x20 for section L...
2026-03-07 05:31:20,017 | automation           | INFO     | Found L at (292, 107), tooltip='D310CAT 1 - L'
2026-03-07 05:31:20,037 | automation           | INFO     | Clicked canvas at (292, 107)
2026-03-07 05:31:26,988 | automation           | INFO     | Navigating to: https://webook.com/ar/events/rsl-al-ettifaq-vs-al-riyadh-123554
2026-03-07 05:31:27,835 | automation           | WARNING  | Section L not found in canvas scan
2026-03-07 05:31:27,836 | booking              | WARNING  | Booking attempt 3 failed: لم أتمكن من النقر على القسم L
2026-03-07 05:31:27,836 | booking              | INFO     | Retry 3/3 - waiting 4.0s...
2026-03-07 05:31:31,519 | automation           | INFO     | Using cached event data for 123554
2026-03-07 05:31:31,532 | booking              | INFO     | Booking prep done in 4.54s: event='دوري روشن ٢٥/٢٦ - الاتفاق ضد الرياض', logged_in=True
2026-03-07 05:31:31,841 | aiogram.event        | INFO     | Update id=648318762 is handled. Duration 5007 ms by bot id=8785687069
2026-03-07 05:31:31,842 | automation           | INFO     | Navigating to: https://webook.com/ar/events/rsl-al-ettifaq-vs-al-riyadh-123554/book
2026-03-07 05:31:36,317 | automation           | INFO     | Selecting team: الاتفاق
2026-03-07 05:31:36,753 | automation           | INFO     | Waiting for seat map to load...
2026-03-07 05:31:38,185 | automation           | INFO     | Found SeatCloud frame: https://chart.seatcloud.com/v1.0/index.html
2026-03-07 05:31:42,618 | aiogram.event        | INFO     | Update id=648318763 is handled. Duration 108 ms by bot id=8785687069
2026-03-07 05:31:43,229 | automation           | INFO     | Canvas ready: 974x853
2026-03-07 05:31:43,230 | automation           | INFO     | Searching for section: L
2026-03-07 05:31:43,230 | automation           | INFO     | Scanning canvas 974x853 with grid 25x20 for section L...
2026-03-07 05:31:44,856 | automation           | INFO     | Navigating to: https://webook.com/ar/events/rsl-al-ettifaq-vs-al-riyadh-123554/book
2026-03-07 05:31:47,056 | automation           | WARNING  | Section L not found in canvas scan
2026-03-07 05:31:47,057 | booking              | WARNING  | Booking attempt 4 failed: لم أتمكن من النقر على القسم L
2026-03-07 05:31:47,146 | monitor              | WARNING  | Booking FAILURE: MAX_RETRIES (total failures: 1)
2026-03-07 05:31:47,349 | aiogram.event        | INFO     | Update id=648318761 is handled. Duration 158828 ms by bot id=8785687069
2026-03-07 05:31:49,256 | automation           | INFO     | Waiting for seat map to load...
2026-03-07 05:31:52,723 | aiogram.event        | INFO     | Update id=648318765 is not handled. Duration 1 ms by bot id=8785687069
2026-03-07 05:31:55,580 | aiogram.event        | INFO     | Update id=648318766 is not handled. Duration 2 ms by bot id=8785687069
2026-03-07 05:32:02,841 | aiogram.event        | INFO     | Update id=648318767 is handled. Duration 141 ms by bot id=8785687069
2026-03-07 05:32:15,719 | automation           | INFO     | Navigating to: https://webook.com/ar/events/rsl-al-ettifaq-vs-al-riyadh-123554
2026-03-07 05:32:21,800 | automation           | INFO     | Dismissed popup: button:has-text("قبول الكل")
2026-03-07 05:32:22,812 | automation           | INFO     | Using cached event data for 123554
2026-03-07 05:32:22,820 | booking              | INFO     | Booking prep done in 7.10s: event='دوري روشن ٢٥/٢٦ - الاتفاق ضد الرياض', logged_in=False
2026-03-07 05:32:23,057 | aiogram.event        | INFO     | Update id=648318768 is handled. Duration 7487 ms by bot id=8785687069
2026-03-07 05:32:25,410 | aiogram.event        | INFO     | Update id=648318769 is handled. Duration 262 ms by bot id=8785687069
2026-03-07 05:32:35,562 | automation           | INFO     | Full page screenshot saved: screenshots/seatmap_691194750_1772854355.png
